"Well","Cycle","Time","Object Index","Area [um^2]","Area [%]","Perimeter [um]","Form factor","Extent","Compactness","Eccentricity","Characteristic RI","Characteristic dry mass density [pg / um^3]","Dry mass [pg]","Granularity"
"A1",18,"00:54:56",6,450.56,0.742115,153.224,0.241161,0.562919,4.14661,0.257708,1.34608,0.0804169,115.944,12.2808
"A1",18,"00:54:56",7,458.88,0.755819,167.682,0.205085,0.398333,4.87603,0.901241,1.34921,0.0960344,141.019,8.48583
"A1",18,"00:54:56",8,544.36,0.896613,222.263,0.138472,0.44605,7.22165,0.801228,1.34516,0.075799,132.038,13.8734
"A1",18,"00:54:56",9,352.72,0.580963,103.997,0.409825,0.604304,2.44007,0.768344,1.35277,0.113831,128.482,9.03265
"A1",19,"00:57:56",1,604.52,0.995702,206.068,0.178895,0.457914,5.58987,0.829216,1.34297,0.0648569,125.463,15.0306
"A1",19,"00:57:56",2,949.56,1.56402,241.828,0.204041,0.571294,4.90097,0.841683,1.34186,0.0592915,180.163,13.1347
"A1",19,"00:57:56",3,641.8,1.05711,185.69,0.233902,0.676976,4.27529,0.668031,1.34346,0.0672966,138.211,16.2918
"A1",19,"00:57:56",4,921.64,1.51803,210.16,0.262224,0.378255,3.81353,0.929183,1.34329,0.0664602,196.008,13.1267
"A1",19,"00:57:56",5,1004.84,1.65507,207.9,0.292144,0.640238,3.42297,0.935915,1.34402,0.0701037,225.418,12.5814
"A1",19,"00:57:56",6,455.48,0.750219,166.591,0.206241,0.521335,4.8487,0.383283,1.34632,0.081621,118.966,11.5127
"A1",19,"00:57:56",7,458.48,0.75516,172.897,0.192733,0.435404,5.18851,0.916851,1.34937,0.0968368,142.073,8.34061
"A1",19,"00:57:56",8,348.28,0.57365,139.856,0.223756,0.515055,4.46916,0.820788,1.35326,0.116287,129.602,9.63594
"A1",19,"00:57:56",9,504.96,0.831717,132.594,0.360929,0.677072,2.77063,0.771415,1.34572,0.0786032,127.013,16.1683
"A1",20,"01:00:55",1,573.4,0.944444,177.299,0.229222,0.549866,4.36259,0.800364,1.34315,0.0657455,120.635,13.9949
"A1",20,"01:00:55",2,940.2,1.5486,216.438,0.252211,0.688085,3.96493,0.860922,1.34202,0.0601019,180.825,13.6567
"A1",20,"01:00:55",3,641.92,1.0573,160.997,0.31121,0.683155,3.21326,0.656748,1.34348,0.0673803,138.409,16.4495
"A1",20,"01:00:55",4,991.2,1.6326,230.176,0.235099,0.37234,4.25353,0.935805,1.34292,0.0645945,204.883,13.9244
"A1",20,"01:00:55",5,1024.88,1.68807,240.657,0.222376,0.619967,4.4969,0.938493,1.34383,0.0691645,226.833,11.7815
"A1",20,"01:00:55",6,447.36,0.736844,151.266,0.245689,0.56691,4.07019,0.320795,1.34618,0.0808812,115.786,10.8609
"A1",20,"01:00:55",7,451.88,0.744289,149.61,0.253694,0.404345,3.94175,0.923433,1.34924,0.0962173,139.132,8.67746
"A1",20,"01:00:55",8,379.84,0.625632,145.781,0.224601,0.492199,4.45234,0.826807,1.3519,0.109513,133.111,9.62297
"A1",20,"01:00:55",9,516.04,0.849967,164.523,0.239575,0.51604,4.17406,0.806777,1.3456,0.0779801,128.771,14.7026
"A1",21,"01:03:56",1,570.44,0.939569,194.247,0.189982,0.481791,5.26367,0.812603,1.34335,0.0667666,121.876,14.1767
"A1",21,"01:03:56",2,935.28,1.54049,220.433,0.241879,0.626024,4.13429,0.85606,1.34211,0.0605661,181.268,13.8698
"A1",21,"01:03:56",3,632.08,1.0411,156.067,0.326107,0.701937,3.06648,0.643362,1.34351,0.0675386,136.607,15.6251
"A1",21,"01:03:56",4,975.76,1.60717,232.521,0.226793,0.377534,4.40931,0.92792,1.34294,0.0647229,202.093,13.202
"A1",21,"01:03:56",5,1008.6,1.66126,205.709,0.299519,0.620524,3.33869,0.925007,1.34384,0.0692137,223.389,13.1048
"A1",21,"01:03:56",6,447.44,0.736976,149.672,0.250995,0.484242,3.98414,0.344692,1.34601,0.0800476,114.613,10.8279
"A1",21,"01:03:56",7,465.84,0.767283,176.895,0.187074,0.345866,5.34548,0.914377,1.34901,0.0950624,141.708,8.64932
